waktu (s);tegangan (v)
0.000;0.455
0.001;0.868
0.002;1.243
0.003;1.585
0.004;1.895
0.005;2.178
0.006;2.434
0.007;2.667
0.008;2.880
0.009;3.072
0.010;3.248
0.011;3.407
0.012;3.552
0.013;3.683
0.014;3.803
0.015;3.912
0.016;4.011
0.017;4.101
0.018;4.182
0.019;4.257
0.020;4.324
0.021;4.386
0.022;4.442
0.023;4.492
0.024;4.539
0.025;4.580
0.026;4.619
0.027;4.653
0.028;4.685
0.029;4.713
0.030;4.740
0.031;4.763
0.032;4.785
0.033;4.804
0.034;4.822
0.035;4.838
0.036;4.853
0.037;4.866
0.038;4.878
0.039;4.890
0.040;4.900
0.041;4.909
0.042;4.917
0.043;4.925
0.044;4.931
0.045;4.938
0.046;4.943
0.047;4.948
0.048;4.953
0.049;4.957
0.050;4.961
0.051;4.965
0.052;4.968
0.053;4.971
0.054;4.974
0.055;4.976
0.056;4.978
0.057;4.980
0.058;4.982
0.059;4.984
0.060;4.985
0.061;4.986
0.062;4.988
0.063;4.989
0.064;4.990
0.065;4.991
0.066;4.992
0.067;4.992
0.068;4.993
0.069;4.994
0.070;4.994
0.071;4.995
0.072;4.995
0.073;4.996
0.074;4.996
0.075;4.996
0.076;4.997
0.077;4.997
0.078;4.997
0.079;4.998
0.080;4.998
0.081;4.998
0.082;4.998
0.083;4.998
0.084;4.998
0.085;4.999
0.086;4.999
0.087;4.999
0.088;4.999
0.089;4.999
